ladder,rung,gamma,k
spin,1,1.1158409781982634,0.7197111023761401
spin,1,2.6525478124737103,0.05860901072440787
spin,1,2.2479158795747614,0.18672466929954
spin,1,0.594682335301209,0.9141632554483373
spin,1,1.1806758249952982,0.6901499327843857
spin,1,1.5907619628830219,0.49001784517889485
spin,1,1.9480783094275935,0.3158025120978177
spin,1,1.5201599831162944,0.5253073537616884
spin,1,1.5602803507539085,0.50525789111127
spin,1,1.272129958581916,0.6471229385638058
spin,1,2.448720884905625,0.11529257514431683
spin,1,2.7188281342642955,0.044020904537006314
spin,1,1.8111110263176267,0.38099585287567445
spin,1,1.8025703501111277,0.3851477646122459
spin,1,0.4340393914890468,0.9536372171198089
